Student_ID,CGPA,Bachelors_Degree,Skills,Languages,Job_Experience,Duration_of_Internship_or_Job,Extra_Curricular,Research_Paper
1001,3.88,Robotics,"SQL, Artificial Intelligence, Web Development","R, C",Software Developer,13 months,Music Club,Yes
1002,2.47,Computer Engineering,"Artificial Intelligence, SQL, Computer Networks, DevOps",Ruby,Hardware Engineer,4 months,"Debating Society, Student Government",Yes
1003,3.72,Mechanical Engineering,"DevOps, SQL, Operating Systems, Cloud Computing","C++, JavaScript",Systems Engineer,16 months,"Sports Club, Art Club, Student Government",Yes
1004,3.29,Software Engineering,"PostgreSQL, Operating Systems, Machine Learning, Cloud Computing, DevOps",R,Systems Engineer,15 months,"Sports Club, Volunteering",Yes
1005,3.18,Mechanical Engineering,"Computer Networks, Cloud Computing, PostgreSQL, Machine Learning","C, JavaScript",Network Engineer,15 months,Music Club,Yes
1006,2.1,Information Technology,"Data Structures & Algorithms (DSA), Operating Systems, PostgreSQL, Web Development","R, Ruby",Research Assistant,7 months,"Coding Club, Sports Club, Art Club",No
1007,3.53,Computer Engineering,"PostgreSQL, Computer Networks, Artificial Intelligence, Operating Systems",Ruby,Software Developer,21 months,"Coding Club, Student Government",Yes
1008,4.0,Information Technology,"PostgreSQL, Operating Systems","C, Ruby",Software Developer,16 months,"Debating Society, Sports Club, Volunteering",No
1009,2.96,Electrical Engineering,"Data Structures & Algorithms (DSA), SQL, Machine Learning","Ruby, Python, R",Research Assistant,19 months,"Music Club, Art Club, Coding Club",No
1010,3.0,Electrical Engineering,"Artificial Intelligence, DevOps, Cloud Computing","Ruby, R, Java",Data Analyst,4 months,Sports Club,Yes
1011,3.74,Software Engineering,"DevOps, Machine Learning, Operating Systems, Data Structures & Algorithms (DSA), PostgreSQL",Ruby,Hardware Engineer,8 months,"Volunteering, Coding Club, Debating Society",Yes
1012,2.26,Mechanical Engineering,"Artificial Intelligence, Cloud Computing, Machine Learning",C++,Network Engineer,11 months,Coding Club,No
1013,2.98,Chemical Engineering,"DevOps, Computer Networks","R, JavaScript",Hardware Engineer,16 months,"Art Club, Music Club, Coding Club",No
1014,2.89,Data Science,"Web Development, Machine Learning, Data Structures & Algorithms (DSA), Operating Systems","R, Ruby, C",Research Assistant,13 months,"Sports Club, Volunteering",Yes
1015,3.48,Data Science,"Artificial Intelligence, DevOps, PostgreSQL, Computer Networks",Ruby,Data Analyst,8 months,Coding Club,No
1016,3.47,Civil Engineering,"Machine Learning, Artificial Intelligence, DevOps, PostgreSQL, Operating Systems",Python,Data Analyst,16 months,"Art Club, Volunteering, Sports Club",No
1017,3.41,Mechanical Engineering,"Web Development, Artificial Intelligence",Python,Network Engineer,22 months,"Debating Society, Art Club, Sports Club",No
1018,2.02,Computer Engineering,"Machine Learning, Computer Networks, DevOps, Operating Systems","Java, C",Hardware Engineer,9 months,"Art Club, Student Government",No
1019,3.02,Robotics,"Web Development, Operating Systems, SQL, Cloud Computing, Artificial Intelligence","Python, JavaScript",Software Developer,11 months,"Student Government, Music Club",Yes
1020,2.8,Artificial Intelligence,"Artificial Intelligence, PostgreSQL, SQL, Computer Networks",Python,Network Engineer,4 months,Volunteering,Yes
1021,3.23,Information Technology,"Operating Systems, DevOps","C, Java",Software Developer,10 months,"Art Club, Coding Club, Volunteering",No
1022,2.74,Robotics,"Machine Learning, Data Structures & Algorithms (DSA), Artificial Intelligence, DevOps","Ruby, C++",Systems Engineer,18 months,Music Club,Yes
1023,3.82,Information Technology,"SQL, Machine Learning","Java, R",Research Assistant,20 months,Debating Society,Yes
1024,3.82,Computer Engineering,"Data Structures & Algorithms (DSA), Cloud Computing, Computer Networks, SQL, Machine Learning","R, JavaScript",Network Engineer,16 months,"Art Club, Coding Club",Yes
1025,2.71,Artificial Intelligence,"PostgreSQL, DevOps, Cloud Computing, Machine Learning, Computer Networks","R, Ruby, C++",Software Developer,8 months,"Debating Society, Coding Club, Volunteering",No
1026,2.13,Software Engineering,"Operating Systems, Machine Learning, Cloud Computing","Java, R, C++",Software Developer,17 months,"Debating Society, Coding Club",Yes
1027,3.41,Mechanical Engineering,"Web Development, Operating Systems","Ruby, Python, C",Network Engineer,3 months,"Volunteering, Student Government",Yes
1028,3.53,Civil Engineering,"SQL, Machine Learning","R, C",Hardware Engineer,15 months,Music Club,No
1029,2.08,Mechanical Engineering,"DevOps, Computer Networks","Ruby, R, JavaScript",Systems Engineer,6 months,"Student Government, Coding Club, Debating Society",No
1030,2.87,Mechanical Engineering,"Data Structures & Algorithms (DSA), DevOps, Operating Systems, Machine Learning, Web Development","Python, Ruby, JavaScript",Software Developer,23 months,"Sports Club, Debating Society, Coding Club",No
1031,2.28,Civil Engineering,"Computer Networks, Machine Learning, Operating Systems, PostgreSQL","Python, Java",Network Engineer,10 months,"Student Government, Debating Society",Yes
1032,3.08,Software Engineering,"DevOps, Cloud Computing","Ruby, JavaScript",Hardware Engineer,16 months,Student Government,Yes
1033,3.28,Civil Engineering,"DevOps, Data Structures & Algorithms (DSA), Cloud Computing, SQL","Java, JavaScript, Ruby",Network Engineer,8 months,"Volunteering, Student Government",Yes
1034,3.92,Software Engineering,"Artificial Intelligence, PostgreSQL, Cloud Computing, Computer Networks","JavaScript, C, Ruby",Software Developer,24 months,"Art Club, Volunteering, Debating Society",Yes
1035,3.27,Electrical Engineering,"SQL, Operating Systems","C++, Java",Network Engineer,19 months,"Music Club, Student Government",Yes
1036,2.83,Robotics,"Artificial Intelligence, Data Structures & Algorithms (DSA), Cloud Computing, Operating Systems","R, Python, C",Data Analyst,19 months,"Coding Club, Debating Society",Yes
1037,2.85,Software Engineering,"Cloud Computing, Operating Systems, Data Structures & Algorithms (DSA), Machine Learning, Computer Networks",C++,Software Developer,24 months,Art Club,Yes
1038,3.89,Electrical Engineering,"Artificial Intelligence, Data Structures & Algorithms (DSA), Cloud Computing, PostgreSQL, Machine Learning","C++, Ruby",Data Analyst,10 months,Coding Club,Yes
1039,2.39,Civil Engineering,"PostgreSQL, Cloud Computing, Data Structures & Algorithms (DSA)",C,Hardware Engineer,3 months,Student Government,Yes
